,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3493,2017-11-14,0,0.35183641977777774,0.8,0.0625,2.0,0.0,9.0,118.3398440000019,59.2382809999981,206.72070299999905,64.43945299999905,117.92968800000016
3494,2017-11-15,1,0.27875,0.9875,-0.125,0.0,0.0,5.0,142.50976499999888,118.3398440000019,59.2382809999981,206.72070299999905,64.43945299999905
3495,2017-11-16,0,0.06671006941666667,0.56875,-0.541666667,5.0,4.0,12.0,102.24023400000078,142.50976499999888,118.3398440000019,59.2382809999981,206.72070299999905
3496,2017-11-17,-1,0.11490740744444444,0.666666667,-0.7,3.0,3.0,9.0,126.84960900000078,102.24023400000078,142.50976499999888,118.3398440000019,59.2382809999981
3497,2017-11-20,0,-0.03820216055555556,0.15,-0.16805555600000002,2.0,0.0,9.0,77.75976500000252,126.84960900000078,102.24023400000078,142.50976499999888,118.3398440000019
3498,2017-11-21,-1,0.125,0.25,0.0,1.0,0.0,2.0,96.30078100000172,77.75976500000252,126.84960900000078,102.24023400000078,142.50976499999888
3499,2017-11-22,-1,0.06496212120000001,0.33106060600000004,-0.33125,1.0,1.0,5.0,117.65039000000252,96.30078100000172,77.75976500000252,126.84960900000078,102.24023400000078
3500,2017-11-24,0,0.5582765151,1.0,-0.25625,1.0,0.0,10.0,98.16015600000172,117.65039000000252,96.30078100000172,77.75976500000252,126.84960900000078
3501,2017-11-27,0,0.04426025133333333,0.533333333,-0.166666667,3.0,0.0,15.0,47.5898440000019,98.16015600000172,117.65039000000252,96.30078100000172,77.75976500000252
3502,2017-11-28,0,0.09833688914285714,0.581547619,-0.322916667,2.0,0.0,7.0,93.90039099999922,47.5898440000019,98.16015600000172,117.65039000000252,96.30078100000172
3503,2017-11-29,0,0.30685606063636367,1.0,-0.25,2.0,1.0,11.0,232.5,93.90039099999922,47.5898440000019,98.16015600000172,117.65039000000252
3504,2017-11-30,0,0.14189894479999998,1.0,-0.3125,9.0,2.0,20.0,87.16992200000095,232.5,93.90039099999922,47.5898440000019,98.16015600000172
3505,2017-12-01,1,0.01769620811111112,0.444444444,-0.5,1.0,1.0,9.0,314.01953199999843,87.16992200000095,232.5,93.90039099999922,47.5898440000019
3506,2017-12-04,0,0.10699998305555555,0.8,-0.2,10.0,4.0,18.0,400.1601560000017,314.01953199999843,87.16992200000095,232.5,93.90039099999922
3507,2017-12-05,0,0.15,0.425,-0.125,0.0,0.0,2.0,245.8496100000011,400.1601560000017,314.01953199999843,87.16992200000095,232.5
3508,2017-12-06,0,0.45460606060000003,1.0,0.0,0.0,2.0,5.0,194.46093699999986,245.8496100000011,400.1601560000017,314.01953199999843,87.16992200000095
